Talvimaisema,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Alaston istuva poika,Ateneum,2001,Ester ja Jalo Sihtolan Taidesäätiön lahjoituskokoelma
Kärki,Ateneum,no date,Tuomo Sepon kokoelma
Äiti,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Amor ja Psyke,Ateneum,1923,Antellin kokoelmat
Posetiivinsoittaja,Ateneum,1985,Edvard Richterin ja Mandi Karnakoski-Richterin testamenttikokoelma
Morsiamen laulu,Ateneum,1893,Antellin kokoelmat
Morsiamen laulu,Ateneum,1893,H. F. Antellin testamenttikokoelma
Hattupäinen tyttö,Ateneum,1985,Edvard Richterin ja Mandi Karnakoski-Richterin testamenttikokoelma
"Rakastunut leijona. Kuvitusta La Fontainen Faabeleihin, sarja nro 74",Ateneum,2001,Ester ja Jalo Sihtolan Taidesäätiön lahjoituskokoelma
"""Lopussa on naru""",Kiasma,1999,Maj-Lis Pitkäsen kokoelma
?,Sinebrychoffin taidemuseo,1919,Hjalmar Linderin lahjoituskokoelma
Kylä kanavan rannalla,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Kylä kanavan rannalla,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
luonnoslehtiö,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Nainen parvekkeella,Ateneum,2015,Rolando ja Siv Pieraccinin kokoelma
Pienissä laatikoissa,Kiasma,1997,Kalle Koroma
Näyttelijät Ichikawa Kodanji IV ja Iwai Kumesaburo näytelmässä Nani Takashima ryuta jitsuroku (Totuus kuuluisasta palloleikistä),Ateneum,1908,Antellin kokoelmat
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Akkunan ääressä,Ateneum,2001,Ester ja Jalo Sihtolan Taidesäätiön lahjoituskokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Karkea jäljennös Ylimystö-sarjasta n.1624,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat
Karkea jäljennös Ylimystö-sarjasta n.1624,Sinebrychoffin taidemuseo,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
Keskeissommitelma,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen (ruots. painos),Ateneum,1903,Antellin kokoelmat
nimetön ; luonnos,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Nainen ja kaksi miestä,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
Riekkoja,Ateneum,2003,Beatrice Granbergin kokoelma
Makaava lehmä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Makaava lehmä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Musisoivia talonpoikia kapakassa,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Musisoivia talonpoikia kapakassa,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
?,Sinebrychoffin taidemuseo,1919,Hjalmar Linderin lahjoituskokoelma
Harvennettua metsää,Ateneum,1926,Ahlströmin kokoelma
Luurankoviulu,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Bela Boris,Kiasma,2003,Skopin kokoelma
Suuriuhtinas Anna,Sinebrychoffin taidemuseo,1921,Paul ja Fanny Sinebrychoffin taidekokoelma
Syleily,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Näyttelijä Kataoka Ichizo näytelmässä Kanadehon chusingura (Uskolliset vasallit),Ateneum,1908,Antellin kokoelmat
